0.69345,0.76935,0.64286,0.69643,0.53274,0.57143,0,1
0.69345,0.76935,0.64286,0.24554,0.53274,0.57143,1,0
0.43393,0.43750,0.38728,0.37245,0.28423,0.26786,0,1
0.43393,0.68304,0.70408,0.37245,0.28423,0.26786,1,0
0.51786,0.53929,0.47470,0.48363,0.39732,0.40357,0,1
0.51786,0.53929,0.47470,0.48363,0.34821,0.40357,1,0
0.41667,0.42560,0.36607,0.35714,0.24286,0.23087,0,1
0.28869,0.42560,0.36607,0.29911,0.24286,0.23087,1,0
0.72768,0.79315,0.65774,0.70089,0.51964,0.54643,0,1
0.72768,0.79315,0.48512,0.45536,0.51964,0.54643,1,0
0.51339,0.52679,0.46577,0.46429,0.36607,0.36071,0,1
0.51339,0.61607,0.46577,0.46429,0.36607,0.36071,1,0
0.42113,0.39732,0.36161,0.31845,0.18353,0.14286,0,1
0.42113,0.39732,0.36161,0.31845,0.28869,0.32292,1,0
0.22024,0.23512,0.18622,0.18080,0.08036,0.07143,0,1
0.22024,0.23512,0.18622,0.18080,0.60268,0.07143,1,0
0.48214,0.45536,0.42857,0.38690,0.29464,0.25893,0,1
0.48214,0.23571,0.42857,0.38690,0.29464,0.25893,1,0
0.54762,0.52083,0.47066,0.42560,0.27679,0.24107,0,1
0.54762,0.52083,0.47066,0.19643,0.29911,0.24107,1,0
